Gene symbol,Category,Mouse ortholog,Zebrafish orthologs,D. melanogaster orthologs,C. elegans orthologs,Immunolocalisation evidence***,Antibodies,C. elegans protein tagging studies,BM Interactors,Cell surface Interactors,BM substrate,"Subcellular localization (UNIPROT, Human Protein Atlas)",Matrixome 
COL6A2,Basement membrane,Col6a2,col6a2,-,-,"PMID: 24357721 (M)
PMID: 21406227 (H)
PMID: 18276594 (M)
The Matrixome Project (M)","PMID: 24357721, Goat pAb ɑ-mouse, COL6 clone S-16 (Santa Cruz Biotechnologies)
PMID: 21406227, Rabbit ɑ-collagen VI (Fitzgerald, Concord, MA) 
PMID: 18276594, pAb ɑ-collagen VI α1α2α3 (Chemicon, AB7821)
The Matrixome Project, Rabbit pAb ɑ-COL6 cat. LB-1697 (LSL)", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,FN1,P3H1,P3H2,MMP2","COL13A1,ITGA1,ITGA2,ITGA3,ITGA5,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB5,SDC1",-,"Extracellular matrix, Membrane, Secreted, Intracellular",Yes
COL6A3,Basement membrane,Col6a3,col6a3,-,-,"PMID: 24357721 (M)
PMID: 21406227 (H)
PMID: 22226732 (H)
PMID: 18276594 (M)
The Matrixome Project (M)","PMID: 24357721, Goat pAb ɑ-mouse, COL6 clone S-16 (Santa Cruz Biotechnologies)
PMID: 21406227, Rabbit ɑ-collagen VI (Fitzgerald, Concord, MA) 
PMID: 22226732, antibody against the collagen VI α1α2α3 chains (Fitzgerald)
PMID: 18276594, pAb ɑ-collagen VI α1α2α3 (Chemicon, AB7821)
The Matrixome Project, Rabbit pAb ɑ-COL6 cat. LB-1697 (LSL)", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,DCN,P3H1,P3H2,LUM,POSTN","COL13A1,ITGA1,ITGA2,ITGA4,ITGA5,ITGA7,ITGA8,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,SDC1",-,"Extracellular matrix, Secreted, Intracellular",Yes
COL7A1,Basement membrane,Col7a1,col7a1,-,-,"PMID: 1347297 (H)
PMID: 11083471 (H)
PMID: 20336083 (M)
PMID: 25915046 (H)
PMID: 17962449 (H)","PMID: 1347297,  monoclonal ɑ-type VII collagen antibody L3D.
PMID: 11083471, rabbit pAb to human collagen VII that did not cross-react with mouse.
PMID: 20336083, rabbit anti mouse COL7A1
PMID: 25915046, Mouse monoclonal collagen VII (Chemicon International)
PMID: 17962449, Mouse mAb 4D2 collagen VII ", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,LAMA3,LAMB3,LAMC2,P3H1,P3H2,LUM,THBS1,TLL1","COL13A1,ITGA2,ITGAV,ITGB1,ITGB3,SDC1",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
COL8A1,Basement membrane,Col8a1,"col8a1a,col8a1b",-,-,"PMID: 29706360 (M)
PMID: 2104858 (B)
PMID: 17962449 (H)","PMID: 29706360, rabbit polyclonal anticollagen type VIII a1 (Sigma-Aldrich, HPA053107)
PMID: 2104858, 6A2 and 9H3 monoclonal antibodies to Col VIII, in-house
PMID: 17962449, mouse mAb 9H3 collagen VIII a1 chain (Seikagaku America)", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,LUM",COL13A1,-,"Basement membrane, Extracellular matrix, Secreted",No
COL8A2,Basement membrane,Col8a2,col8a2,-,-,"PMID: 2104858 (B)
PMID: 17962449 (H)","PMID: 2104858, Two mAb (6A2 and 9H3) to Collagen VIII, in-house
PMID: 17962449, Mouse mAb 9H3 collagen VIII a1 chain (Seikagaku America)", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL9A1,COL9A2,COL9A3,P3H1,P3H2",COL13A1,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
COL9A1,Basement membrane,Col9a1,col9a1b,-,-,PMID: 23130612 (H),"PMID: 23130612: Collagen type IX α1 chain (monoclonal mouse ɑ-human antibody (IgG2a), Clone: 23-5D1, (Acris, Herford, Germany, AF6410)", -,"BGN,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A2,COL9A3,P3H1,P3H2","COL13A1,ITGA1,ITGA10,ITGA2,ITGB1",-,"Extracellular matrix, Secreted",No
COL9A2,Basement membrane,Col9a2,col9a2,-,-,PMID: 23130612 (H),"PMID: 23130612: Collagen type IX α1 chain (monoclonal mouse ɑ-human antibody (IgG2a), Clone: 23-5D1, (Acris, Herford, Germany, AF6410)", -,"BGN,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A3,P3H1,P3H2","COL13A1,ITGA1,ITGA10,ITGA2,ITGB1",-,"Extracellular matrix, Secreted, Intracellular",No
COL9A3,Basement membrane,Col9a3,col9a3,-,-,PMID: 23130612 (H),"PMID: 23130612: Collagen type IX α1 chain (monoclonal mouse ɑ-human antibody (IgG2a), Clone: 23-5D1, (Acris, Herford, Germany, AF6410)", -,"BGN,COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,P3H1,P3H2","COL13A1,ITGA1,ITGA10,ITGA2,ITGA7,ITGB1,ITGB8",-,"Extracellular matrix, Secreted, Intracellular",No
COL12A1,Basement membrane,Col12a1,"cola12a1a,col12a1b",-,-,"PMID: 22573329 (H)
PMID: 18983916 (Z)
PMID: 17962449 (H)
PMID: 23325806 (Z)","PMID: 22573329, Polyclonal antibody recognising the fibronectin type III repeats 14 to 18 of collagen XII, in-house
PMID: 18983916, affinity purified pAb specific for zebrafish Col XII-FNIII, in-house
PMID: 17962449, Col XII long form mouse mAb I1C8 and col XII total mouse mAb 3C7
PMID: 23325806, Affinity-purified rabbit pAb specific for zebrafish Col XII", -,"COL14A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2,POSTN",COL13A1,-,"Extracellular matrix, Secreted",No
COL14A1,Basement membrane,Col14a1,"cola14a1a,col14a1b",-,-,"PMID: 22573329 (H)
PMID: 23325806 (Z)","PMID: 22573329, Polyclonal antibody recognising the fibronectin type III repeats 5 to 8 of collagen XIV, in-house 
PMID: 23325806, Affinity-purified polyclonal guinea pig/rabbit antibodies specific for zebrafish COLXIV-A, in-house", -,"COL12A1,COL15A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,DCN,P3H1,P3H2,OGN",COL13A1,-,"Extracellular matrix, Secreted",No
COL15A1,Basement membrane,Col15a1,"col15a1a,col15a1b",Mp,cle-1,"PMID: 16633037 (H)
PMID: 11937714 (H)","PMID: 16633037, pAb against native human ColXV detects the carboxy-terminal non-collagenous domain
PMID: 11937714, Antibody raised to PNPISSANYEKPA (P12) for type XV (CH15A and CH15B), in-house",CLE-1,"ADAMTS18,COL12A1,COL14A1,COL17A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,CTSB,P3H1,P3H2,MMP7","COL13A1,GPC4",-,"Extracellular matrix, Secreted",No
COL17A1,Basement membrane,Col17a1,"col17a1a,col17a1b",-,-,"PMID: 20336083 (M)
PMID: 7550320 (H)
PMID: 22688676 (H)
PMID: 17927980 (H)","PMID: 20336083, rabbit anti mouse BP180
PMID: 7550320, clone 233-HD4 (ɑ-BP180), in-house
PMID: 22688676, mouse monoclonal ɑ-collagen XVII antibodies 9G2 and 6D1 and NC16-A3
PMID: 17927980, affinity purified polyclonal rabbit Ab to type XVII collagen", -,"COL12A1,COL14A1,COL15A1,COL18A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,LAMA1,LAMA3,LAMB1,LAMB3,LAMC2,P3H1,P3H2","ADAM10,ADAM17,ADAM9,CD151,COL13A1,ITGA6,ITGB4",-,"Basement membrane, Cell junction, Extracellular matrix, Membrane, Secreted, Intracellular",No
COL18A1,Basement membrane,Col18a1,"col18a1a,col18a1b",Mp,cle-1,"PMID: 23074202 (H)
PMID: 7568013 (M)
PMID: 17927980 (H)
The Matrixome Project (M)","PMID: 23074202, collagen XVIII 6C4 mAb (Developmental Studies Hybridoma Bank)
PMID: 7568013, Antibody raised to the 20 aa of the N-terminal non-triple-helical NC11 domain of mouse a1(XVIII) collagen, in-house
PMID: 17927980, mouse col XVIII NC11 domain
The Matrixome Project, in-house Rat mAb CM186",CLE-1,"ADAMTS18,ADAMTS8,COL12A1,COL14A1,COL15A1,COL17A1,COL28A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,CTSB,CTSD,HSPG2,LAMA1,LAMB1,LAMC1,P3H1,P3H2,MMP2,MMP7,THBS1","COL13A1,GPC1,GPC4,ITGA3,ITGA5,ITGAV,ITGB1,ITGB3,ITGB5",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
COL28A1,Basement membrane,Col28a1,"col28a1a,col28a1b",-,-,"PMID: 16330543 (M)
PMID: 26235539 (Z)","PMID: 16330543, Affinity-purified antibody against the collagen XXVIII VWA2 domain (pAb KR43), in-house
PMID: 26235539, Affinity-purified antibody directed against zebrafish collagen XXVIII chain, in-house", -,"COL12A1,COL14A1,COL15A1,COL17A1,COL18A1,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A1,COL6A2,COL6A3,COL7A1,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,P3H1,P3H2",COL13A1,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
COLQ,Basement membrane,Colq,colq,-,-,PMID: 10087275 (M),"PMID: 10087275, Antibody to ColQ (Krejci et al., 1997)", -,"ACHE,AGRN,HSPG2",MUSK,-,"Cell junction, Synapse, Intracellular",No
CST3,Basement membrane,Cst3,cst3,"CG8066,Cys","cpi-1,cpi-2","PMID: 28067897 (H)
PMID: 19435903 (M)","PMID: 28067897, Rabbit pAb for Cytostatin C (Sigma, HPA013143)
PMID: 19435903, Cystatin C antibody (R&D Systems)","CPI-1, CPI-2","AMELX,AMTN,CTSB,CTSD,FBN1,FN1,HSPG2,LAMB1,LAMB2,LAMC1,SPARCL1,TIMP1,TIMP2,TNC,VCAN,VWA1","ADAM10,EVA1A,GPC3",-,"Secreted, Amyloid, Intracellular",No
CTSA,Basement membrane,Ctsa,ctsa,-,"ctsa-1.1,ctsa-1.2,ctsa-4.1,Y16B4A.2,ctsa-2,ctsa-4.2,ctsa-3.1,ctsa-3.2",-,-,-,CTSD,-,-,Intracellular,No
CTSB,Basement membrane,Ctsb,"ctsba,ctsbb",CtsB1,"cpr-1,cpr-2,cpr-3,cpr-4,cpr-5,cpr-6,cpr-8,W07B8.4,F32H5.1",Human Protein Atlas (H),"HPA, rabbit ɑ-CTSB pAb (Atlas Antibodies, HPA018156) ",-,"COL15A1,COL18A1,CST3,CTSD",-,"Collagen type IV, laminin, FN1","Cell membrane, Lysosome, Membrane, Secreted",No
CTSD,Basement membrane,Ctsd,ctsd,cathD,"asp-1,asp-3,asp-4",-,-,-,"COL18A1,CST3,CTSA,CTSB,TIMP2",-,"CTSB, FN1 ","Secreted, Intracellular",No
DCN,Basement membrane,Dcn,dcn,-,dcn-1,"PMID: 11012890 (H)
PMID: 12122449 (M)
PMID: 16183658 (H)
PMID: 17543016 (M)
PMID: 21294898 (M)
Human Protein Atlas (H)","PMID: 11012890, α-DCN PG-II domain and ɑ-hDCN (From PMID 1597483); 
PMID: 12122449, α-DCN LF-113 (source PMID: 8553864);
PMID: 16183658 α-DCN LF-113 (PMID: 8553864)
PMID: 17543016 α-DCN LF-113 (PMID: 8553864)
PMID: 21294898 α-DCN LF-113 (PMID: 8553864)
HPA, α-DCN 2354 (Origene #CAB017118)",-,"ACAN,AGRN,BCAN,BGN,COL14A1,COL5A1,COL6A1,COL6A3,FBN1,FN1,HSPG2,LUM,MMP2,MMP7,POSTN,SPARC,TGFB1,TGFB2,THBS1,VCAN","CSPG4,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,MMP14,SDC1,SDC4",-,"Extracellular matrix, Secreted",No
ECM1,Basement membrane,Ecm1,"ecm1a,ecm1b",-,-,"PMID: 18200062 (H)
PMID: 29439094 (C) ","PMID: 18200062, rabbit ɑ-ECM1-specific antibody (OAP 12516)
PMID: 29439094, ɑ-ECM1 (Proteintech, 11521-1-AP)", -,"EFEMP1,TIMP3",-,-,"Extracellular matrix, Secreted",No
EFEMP1,Basement membrane,Efemp1,efemp1,-,fbl-1,"PMID: 10601734 (M)
PMID: 12242346 (H)
PMID: 19520159 (M)
PMID: 28622396 (M)
PMID: 17664227 (M)","PMID: 10601734, rabbit antisera affinity purified antibody to fibulin-3, in-house
PMID: 12242346, mouse mAb (Mab3-5) against EFEMP1, in-house
PMID: 19520159, polyclonal rabbit ɑ-mouse fibulin-3 antibody
PMID: 28622396, rabbit pAb ɑ-mouse fibulin-3
PMID: 17664227, affinity purified polyclonal ɑ-mouse fibulin-3 antibody",FBL-1,"ECM1,EFEMP2,FBLN1,FBLN2,FBLN5,TIMP3,VTN",-,-,"Extracellular matrix, Secreted, Intracellular",No
EFEMP2,Basement membrane,Efemp2,"efemp2a,efemp2b",-,fbl-1,"PMID: 10601734 (M)
Human Protein Atlas (H)","PMID: 10601734,  rabbit antisera affinity purified antibody to fibulin-4, in-house
HPA, rabbit ɑ-FBLN4 pAb (Atlas Antibodies, HPA023270)",FBL-1,"ADAMTS2,EFEMP1,FBLN1,FBLN2,FBLN5,VTN",-,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
EGFL6,Basement membrane,Egfl6,egfl6,-,-,"PMID: 15572035 (M)
PMID: 21335239 (M)
PMID: 30355452 (M)
The Matrixome Project (M)
Human Protein Atlas (H)","PMID: 15572035, affinity purified rabbit MAEG antibody, in-house
PMID: 21335239, affinity purified rabbit MAEG antibody, in-house
PMID: 30355452, rabbit polyclonal ɑ-mouse EGFL6 against aa 257-550 (CUK-1203–022), in-house
The Matrixome Project, Rabbit pAb ɑ-ECM661/MAEG mae1 (MATRIXOME PJ) 
HPA, rabbit ɑ-EGFL6 pAb (Atlas Antibodies, HPA001838)", -,-,-,-,"Basement membrane, Extracellular matrix, Secreted",Yes
EGFLAM,Basement membrane,Egflam,egflam,SP2353,T19D12.6,"PMID: 18641643 (M)
Human Protein Atlas (H)","PMID: 18641643, rabbit pAb against pikachurin (Oriental Bioservice)
HPA, rabbit pAb (Atlas Antibodies, HPA066577)",T19D12.6,-,DAG1,-,"Extracellular matrix, Cell junction, Cell projection, Secreted, Synapse, Intracellular",No
FBLN1,Basement membrane,Fbln1,fbln1,CG31999,fbl-1,"PMID: 8850569 (M)
PMID: 16061471 (M)
PMID: 2249686 (M)
The Matrixome Project (M)
Human Protein Atlas (H)","PMID: 8850569, affinity purified rabbit ɑ-mouse fibulin-1 antiserum, in-house
PMID: 16061471, rabbit ɑ-fibulin-1 (Rb1323)
PMID: 2249686, affinity-purified rabbit antibodies to BM-90, in-house
The Matrixome Project, Rabbit pAb ɑ-fibulin 1 fu1df (MATRIXOME PJ) 
HPA, rabbit ɑ-FBLN1 pAb (Atlas Antibodies, HPA001612)",FBL-1,"EFEMP1,EFEMP2,FBLN2,FBLN5,FN1,HSPG2,VCAN,VTN",-,-,"Extracellular matrix, Secreted, Intracellular",Yes
FBLN2,Basement membrane,Fbln2,fbnl2,-,fbl-1,"PMID: 8850569 (M)
PMID: 8245130 (M)
PMID: 30237579 (H)
PMID: 28928811 (H)
PMID: 24390135 (M)
PMID: 9603244 (R)
PMID: 17927980 (H)
The Matrixome Project (M)","PMID: 8850569, antiserum to mouse fibulin-2
PMID: 8245130, affinity purified ɑ-fibulin-2
PMID: 30237579, antibody to FBLN2
PMID: 28928811, Rabbit ɑ-human FBLN2 (Santa Cruz Biotechnology, sc-30176)
PMID: 24390135, rabbit pAb ɑ-fibulin-2 from PMID 8245130
PMID: 9603244, recombinant mouse fibulin-2
PMID: 17927980, affinity-purified polyclonal rabbit antibody to fibulin-2
The Matrixome Project, Rabbit pAb ɑ-Fbln2 6.D-E (MATRIXOME PJ)",FBL-1,"EFEMP1,EFEMP2,FBLN1,FBLN5,FN1,HSPG2,LAMA1,VCAN,VTN",-,-,"Extracellular matrix, Secreted, Intracellular",Yes
FBLN5,Basement membrane,Fbln5,fbln5,-,fbl-1,"PMID: 21290250 (H)
PMID: 17109857 (H)","PMID: 21290250, Monoclonal mouse ɑ-human fibulin-5 / DANCE antibody (R&D Systems, clone 293904)
PMID: 17109857, polyclonal antibody directed against fibulin-5 ",FBL-1,"EFEMP1,EFEMP2,FBLN1,FBLN2,FN1,LOXL1,LOXL2,LOXL4,VTN",-,-,"Extracellular matrix, Secreted",No
FBN1,Basement membrane,Fbn1,fbn1,-,fbn-1,"PMID: 25406291 (H)
PMID: 15657057 (H)
PMID: 17587800 (M)
PMID: 25797463 (M)
PMID: 17962449 (H)
PMID: 17927980 (H)","PMID: 25406291, in-house rabbit pAb ɑ-C-terminal of human FBN1 (PMID: 18625713)
PMID: 15657057, Monoclonal antibody against human fibrillin-1 (mAb069) 
PMID: 17587800, rabbit polyclonal antibody reconising N-term of fibrillin-1 (pAb 9543)
PMID: 25797463, ɑ-fibrillin-1 antibody (Abcam, Cambridge, UK, ab53076)
PMID: 17962449, Mouse mAb (11C1) fibrillin-1 (Chemicon International)
PMID: 17927980, Monoclonal antibody to fibrillin-1 (clone 26)",FBN-1,"ADAMTS10,AMELX,AMTN,COL5A1,CST3,DCN,FBN2,FBN3,FN1,HSPG2,LAMB1,LAMB2,LAMC1,LOXL1,LUM,MMP2,SPARCL1,TGFB1,TIMP1,TNC,VCAN,VWA1","ADAM10,EVA1A,GPC3,ITGA5,ITGAV,ITGB1,ITGB3,ITGB6",-,"Extracellular matrix, Secreted",No
FBN2,Basement membrane,Fbn2,"fbn2a,fbn2b",-,fbn-1,"PMID: 12429739 (H)
PMID: 25406291 (H)
PMID: 24899048 (H)
PMID: 15277214 (H)","PMID: 12429739, in-house rabbit mAb 48 and 143 FBN2
PMID: 25406291, rabbit pAb ɑ-glycine-rich domain of fibrillin-2 
PMID: 24899048, FBN2 polyclonal (Sigma, St Louis, MO) or FBN2 monoclonal (Millipore, Billerica, MA)
PMID: 15277214, ɑ-human FBN2 antisera",FBN-1,"FBN1,FBN3","ITGA5,ITGAV,ITGB1,ITGB3,ITGB6",-,"Extracellular matrix, Secreted, Intracellular",No
FBN3,Basement membrane,-,-,Frac,fbn-1,"PMID: 20970500 (H)
PMID: 25406291 (H)","PMID: 20970500, affinity purified antibody against fibrillin-3, in-house
PMID: 25406291, rabbit pAb against C-term of fibrillin-3",FBN-1,"FBN1,FBN2","ITGA5,ITGAV,ITGB1,ITGB3,ITGB6",-,"Extracellular matrix, Secreted, Intracellular",No
FGF9,Basement membrane,Fgf9,fgf9,bnl,let-756,PMID: 17494997 (R),"PMID: 17494997, Goat pAb raised against C-term of human FGF9 (Santa Cruz, CA)",-,-,-,-,"Secreted, Intracellular",No
FMOD,Basement membrane,Fmod,"fmoda,fmodb",-,-,PMID 23074202 (H),"PMID 23074202, Fibromodulin 630D1 mAb (Enzo Life Sciences)", -,"ACAN,LUM,OGN,TGFB1,TGFB2,VCAN",-,-,"Extracellular matrix, Secreted, Intracellular",No
FN1,Basement membrane,Fn1,"fn1a,fn1b",-,-,"PMID: 22186730 (M)
PMID: 28289267 (M)
PMID: 9882526 (M)
Human Protein Atlas (H)","PMID: 22186730, R5386 antibody against Fibronectin
PMID: 28289267, fibronectin antibody (Abcam, ab23750) 
PMID: 9882526, FN rabbit antibody specific to mouse serum fibronectin (Biomol, Hamburg, Germany) 
HPA, rabbit affinity ɑ-FN1 purified pAb (Atlas Antibodies, HPA027066)", -,"AMELX,AMTN,BGN,COL4A1,COL4A2,COL5A1,COL6A2,CST3,DCN,FBLN1,FBLN2,FBLN5,FBN1,HSPG2,ISLR,LAMB1,LAMB2,LAMC1,LUM,MMP1,MMP7,NID1,POSTN,SPARC,SPARCL1,TGFB1,TGFB2,TGFBI,THBS1,TIMP1,TIMP2,TNC,VCAN,VTN,VWA1","ADAM10,CD44,EVA1A,GPC3,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB6,ITGB7,MMP14,SDC1,SDC4",-,"Extracellular matrix, Secreted, Intracellular",No
FRAS1,Basement membrane,Fras1,fras1,-,C48E7.6,"PMID: 17251066 (M)
PMID: 24232570 (M)
PMID: 17596926 (M)
PMID: 12766770 (M)
PMID: 17240369 (M)
PMID: 17462874 (M)
PMID: 16880404 (M)
The Matrixome Project (M)
Human Protein Atlas (H)","PMID: 17251066, Rabbit ɑ-Fras, in-house
PMID: 24232570, Guinea-pig ɑ-mouse FRAS1 CSPG antibody, in-house
PMID: 17596926, Rabbit pAb, in-house
PMID: 12766770, Rabbit pAb, in-house
PMID: 17240369, Rabbit pAb, in-house
PMID: 17462874, rabbit antibody against Fras1, in-house
PMID: 16880404, rabbit antibody against Fras1, in-house
The Matrixome Project, Rabbit pAb ɑ-Fras1 ectodomain (MATRIXOME PJ) 
HPA, rabbit ɑ-FRAS1 pAb (Atlas Antibodies, HPA051601)",C48E7.6,"FREM2,FREM3,HMCN1",-,-,"Cell membrane, Membrane, Intracellular",Yes
FREM1,Basement membrane,Frem1,"frem1a,frem1b",-,C48E7.6,"PMID: 17596926 (M)
PMID: 17251066 (M)
PMID: 17240369 (M)
PMID: 17462874 (M)
PMID: 15878328 (M)
The Matrixome Project (M)","PMID: 17596926, rabbit polyclonal antibody FREM1 
PMID: 17251066, in-house affinity purified antibody
PMID: 17240369, affinity purified Frem1 specific antibody, in-house
PMID: 17462874, in-house antibody against QBRICK/Frem1 
PMID: 15878328, in-house antibody against QBRICK/Frem1
The Matrixome Project, Rabbit pAb ɑ-QBRICK/Frem1 NV domain",C48E7.6,HMCN1,-,-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
FREM2,Basement membrane,Frem2,"frem2a,frem2b",-,C48E7.6,"PMID: 17596926 (M)
PMID: 17251066 (M)
PMID: 17462874 (M)
PMID: 16880404 (M)
Human Protein Atlas (H)","PMID: 17596926, rabbit pAb ɑ-mouse FREM2 ab
PMID: 17251066, in-house affinity purified antibody
PMID: 17462874, in-house rabbit ab against FREM2 
PMID: 16880404, in-house rabbit ab against FREM2 
HPA, Rabbit ɑ-FREM2 pAb (Atlas Antibodies, HPA028831)",C48E7.6,"FRAS1,HMCN1,VWA2",-,-,"Cell membrane, Membrane",No
FREM3,Basement membrane,Frem3,frem3,-,C48E7.6,"PMID: 17596926 (M)
PMID: 17251066 (M)
PMID: 17462874 (M)
Human Protein Atlas (H)","PMID: 17596926, rabbit pAb ɑ-mouse FREM3
PMID: 17251066, in-house affinity purified antibody
PMID: 17462874, ɑ-FREM3, in-house 
HPA, rabbit ɑ-FREM3 pAb (Atlas Antibodies, HPA041641)",C48E7.6,"FRAS1,HMCN1",-,-,"Extracellular matrix, Secreted",No
HAPLN1,Basement membrane,Hapln1,"hapln1a,hapln1b",-,-,Human Protein Atlas (H),"HPA, ɑ-HAPLN1 rabbit pAb (Atlas Antibodies, HPA019482)", -,ACAN,-,-,"Extracellular matrix, Secreted",No
HMCN1,Basement membrane,Hmcn1,hmcn1,sls,him-4,"PMID: 32035013 (M)
PMID: 29488390 (M)","PMID: 32035013, affinity purified antibody against fibulin domains of human HMCN1
PMID: 29488390, ɑ-fibulin-6 (hemicentin 1) (Merch Millipore, AB6066)",HIM-4,"FRAS1,FREM1,FREM2,FREM3",-,-,"Basement membrane, Cell junction, Cytoplasm, Extracellular matrix, Secreted, Intracellular",No
HMCN2,Basement membrane,Hmcn2,hmcn2,-,him-4,PMID: 22771579 (Z),"PMID: 22771579, polyclonal ɑ-Hmcn2 antibody, in-house",HIM-4,-,-,-,"Extracellular matrix, Secreted, Intracellular",No
HSPG2,Basement membrane,Hspg2,hspg2,trol,unc-52,"PMID: 15214943 (M)
PMID: 7507142 (H)
PMID: 17959718 (M)
PMID: 26996820 (H)
PMID: 23139348 (H)
PMID: 2477673 (M)
PMID: 22222602 (M)
PMID: 23074202 (H)
PMID: 17962449 (H)
PMID: 22382594 (H)
The Matrixome Project (M)","PMID: 15214943, rat monoclonal Ab against domain V of perlecan (Chemicon)
PMID: 7507142, in-house mouse mAb against domain III of human perlecan (MAb 7B5)
PMID: 17959718, rat mAb ɑ-perlecan (Chemicon, mAb1948)
PMID: 26996820, perlecan, 3G166 against domain III (US Biologicals, Swampscott, USA)
PMID: 23139348, ɑ-human perlecan A716 or C11L1 
PMID: 2477673, rat mAbs against HSPG
PMID: 22222602, rat mAb against perlecan (Chemicon)
PMID: 23074202, mAb 5C9 within domain IV (Developmental Studies Hybridoma Bank)
PMID: 17962449, perlecan core protein domain IV, rat mAb A7L6
PMID: 22382594, ɑ-human perlecan, domain V and domain III (PMID: 17927980)
The Matrixome Project, rat mAb ɑ-perlecan (Chemicon, mAb1948)",UNC-52,"AGRN,BCAN,BGN,COL18A1,COL4A1,COL4A2,COLQ,CST3,DCN,FBLN1,FBLN2,FBN1,FN1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMC1,LAMC2,LAMC3,NID1,NID2,SPARC,TGFBI,TLL1,VCAN,VWA1","CD44,CSPG4,DAG1,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,ITGA2,ITGB1,MMP14,SDC1,SDC4",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
